H,1,,
Li,1,,
Be,2,,
B,3,,
C,4,,
N,3,,
O,2,,
F,1,,
Na,1,,
Mg,2,,
Al,3,,
Si,4,,
P,3,5,
S,2,4,6
Cl,1,,
K,1,,
Ca,2,,
Sc,3,,
Ti,4,3,
Cr,2,3,6
Mn,2,4,7
Fe,2,3,
Co,2,3,
Ni,2,,
Cu,1,2,
Zn,2,,
Ga,3,,
As,3,5,
Se,2,4,6
Br,1,5,
Rb,1,,
Sr,2,,
Zr,4,,
Nb,3,5,
Tc,6,,
Ru,3,4,8
Rh,4,,
Pd,2,4,
Ag,1,,
Cd,2,,
In,3,,
Sn,2,4,
Sb,3,5,
Te,2,4,6
I,1,,
Cs,1,,
Ba,2,,
K,2,4,6
Au,1,2,3
Hg,1,2,
Tl,1,3,
Pb,2,4,
Bi,3,,
Ra,2,,
Ac,3,,
PO4,3,,
SO4,2,,
NO3,1,,
C2H3O2,1,,
OH,1,,
CO3,2,,
Hydrogen,,,
Lithium,,,
Beryllium,,,
Boron,,,
Carbide,,,
Nitride,,,
Oxide,,,
Fluoride,,,
Sodium,,,
Magnesium,,,
Aluminum,,,
Silicon,,,
Phosphide,,,
Sulfide,,,
Chloride,,,
Potassium,,,
Calcium,,,
Chromium(III),,,
Manganese(II),,,
Iron(III),,,
Cobalt(III),,,
Nickel(III),,,
Copper(II),,,
Zinc,,,
Arsenic,,,
Bromide,,,
Silver,,,
Iodide,,,
Stannum,,,
Antimony,,,
Cesium,,,
Barium,,,
Carbonate,,,
Sulfate,,,
Phosphate,,,
Iron(II),,,
Manganese(IV),,,
Cobalt(II),,,
Copper(I),,,
Nickel(II),,,
Chromium(II),,,
Gold(III),,,
Gold(I),,,
Platinum(IV),,,
Platinum(II),,,
Lead(II),,,
Lead(IV),,,
Thallium(I),,,
Thallium(III),,,
Bismuth(V),,,
Bismuth(III),,,
Tin(IV),,,
Tin(II),,,
Mercury(II),,,
Mercury(I),,,
Palladium(IV),,,
Palladium(II),,,
Titanium(IV),,,
Vanadium(V),,,
Titanium(III),,,
Vanadium(IV),,,
Niobium(III),,,
Niobium(V),,,
Hydroxide,,,
Acetate,,,
Nitrate,,,