Chloride,Copper(I),Silver,Mercury(II),Lead(II),,,,,,,,,
Cl,Cu,Ag,Hg,Pb,,,,,,,,,
Sulfate,Calcium,Barium,Strontium,Silver,Mercury(II),Lead(II),,,,,,,
SO4,Ca,Ba,Sr,Ag,Hg,Pb,,,,,,,
Carbonate,Litium,Sodium,Potassium,Rubidium,Cesium,Francium,Ammonium,,,,,,
CO3,Li,Na,K,Rb,Cs,Fr,NH4,,,,,,
Phosphate,Litium,Sodium,Potassium,Rubidium,Cesium,Francium,Ammonium,,,,,,
PO4,Li,Na,K,Rb,Cs,Fr,NH4,,,,,,
Hydroxide,Calcium,Barium,Strontium,Litium,Sodium,Potassium,Rubidium,Cesium,Francium,,,,
OH,Ca2,Ba2,Sr2,Li,Na,K,Rb,Cs,Fr,,,,
Sulfide,Ammonium,Litium,Sodium,Potassium,Rubidium,Cesium,Francium,Beryllium,Magnesium,Calcium,Strontium,Barium,Radium
S2,NH4,Li,Na,K,Rb,Cs,Fr,Be,Mg,Ca,Sr,Ba,Ra
Acetate,Silver,,,,,,,,,,,,
C2H3O2,Ag,,,,,,,,,,,,
Fluoride,Copper(I),Silver,Mercury(II),Lead(II),,,,,,,,,
F,Cu,Ag,Hg,Pb,,,,,,,,,
Bromide,Copper(I),Silver,Mercury(II),Lead(II),,,,,,,,,
Br,Cu,Ag,Hg,Pb,,,,,,,,,
Iodide,Copper(I),Silver,Mercury(II),Lead(II),,,,,,,,,
I,Cu,Ag,Hg,Pb,,,,,,,,,
Astatide,Copper(I),Silver,Mercury(II),Lead(II),,,,,,,,,
At,Cu,Ag,Hg,Pb,,,,,,,,,